,Diesel,Kerosene,Regular,Super,Town,date,super_normed_price
326,76.71,49.84,0,99.31,Mombasa,2015-09-15,0.761404584835
327,82.64,55.21,0,105.3,Mtito Andei,2015-09-15,0.807329602085
328,80.57,53.14,0,103.23,Muranga,2015-09-15,0.791459020164
329,81.75,54.32,0,104.41,Mwingi,2015-09-15,0.800506018554
330,79.99,52.55,0,102.65,Nairobi,2015-09-15,0.787012190447
331,81.26,53.76,0,103.68,Naivasha,2015-09-15,0.794909146669
332,80.91,53.41,0,103.33,Nakuru,2015-09-15,0.792225714943
333,81.64,54.21,0,104.3,Namanga,2015-09-15,0.799662654297
334,82.14,54.71,0,104.8,Nanyuki,2015-09-15,0.803496128191
335,81.45,54.01,0,104.11,Narok,2015-09-15,0.798205934218
336,82.39,54.96,0,105.05,Nkubu,2015-09-15,0.805412865138
337,81.15,53.65,0,103.57,Nyahururu,2015-09-15,0.794065782412
338,82.74,55.05,0,105.15,Nyamira,2015-09-15,0.806179559917
339,81.54,54.11,0,104.2,Nyeri,2015-09-15,0.798895959519
340,82.13,54.44,0,104.54,Oyugis,2015-09-15,0.801502721766
341,80.67,53.24,0,103.33,Sagana,2015-09-15,0.792225714943
342,82.47,54.78,0,104.89,Siaya,2015-09-15,0.804186153492
343,82.13,54.44,0,104.54,Sondu,2015-09-15,0.801502721766
344,83.31,55.62,0,105.72,Sotik,2015-09-15,0.810549720156
345,79.86,53,0,102.46,Taveta,2015-09-15,0.785555470367
346,80.13,52.7,0,102.79,Thika,2015-09-15,0.788085563137
347,78.31,51.44,0,100.91,Voi,2015-09-15,0.773671701296
348,88.24,60.81,0,110.9,Wajir,2015-09-15,0.850264509699
349,82.25,54.64,0,104.67,Webuye,2015-09-15,0.802499424979
350,86.18,60.74,108.03,105.25,Bomet,2015-08-15,0.806946254696
351,85.77,60.13,107.58,104.84,Bondo,2015-08-15,0.803802806103
352,86.17,60.61,108.01,105.25,Bungoma,2015-08-15,0.806946254696
353,86.77,61.13,108.48,105.84,Busia,2015-08-15,0.811469753891
354,85.09,59.71,107.34,104.39,Chuka,2015-08-15,0.800352679598
355,85.41,59.85,107.31,104.48,Eldoret,2015-08-15,0.801042704899
356,84.57,59.2,106.87,103.88,Embu,2015-08-15,0.796442536226
357,87.92,62.55,109.91,107.22,Garisa,2015-08-15,0.822050141839
358,84.27,58.82,106.29,103.34,Gilgil,2015-08-15,0.792302384421
